playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
97,127.0,49.0,19.4249343832021,8.6,2.4,4.6,52.6%,0.6,1.7,33.8%,2.0,2.6,76.1%,1.4,2.7,4.1,1.5,0.6,1.3,0.0,0.5,1.5,3.3,10.8,003958,"THIEMANN, JOHANNES",29,https://media-cdn.incrowdsports.com/8d67d189-5722-4ac9-918c-70c114ff40d9.png,BAM;BER,BRO;BER,Bamberger Basketball GmbH;ALBA Berlin,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
98,138.0,68.0,20.938285024154588,9.2,3.0,5.5,54.1%,0.3,0.8,36.7%,2.3,2.9,82.2%,1.5,2.7,4.2,1.0,0.6,1.1,0.3,0.2,2.4,2.9,11.0,006477,"RUBIT, AUGUSTINE",33,https://media-cdn.cortextech.io/b8b4bd90-54ee-4931-8318-01b83d72a58f.png,BAM;OLY;ZAL;MUN,BRO;OLY;ZAL;BAY,Bamberger Basketball GmbH;Olympiacos Piraeus;Zalgiris Kaunas;FC Bayern Munich,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png;https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
99,137.0,122.0,27.328710462287106,11.1,2.4,5.0,48.5%,1.6,3.8,42%,1.5,1.9,77.9%,0.4,2.5,2.9,2.1,0.8,1.4,0.1,0.2,1.9,2.7,11.0,000529,"MICOV, VLADIMIR",35,https://media-cdn.incrowdsports.com/14753a8e-0ec2-40ab-a26b-50434381d400.png,GAL;MIL,GSO;AXM,Galatasaray Spor Kulubu;EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/95056dbe-7949-4b65-921d-ed9b59c0791c.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
100,162.0,110.0,18.10411522633745,8.5,3.6,5.6,64.4%,0.0,0.0,0%,1.3,1.9,68.1%,1.9,2.5,4.5,0.6,0.4,1.0,0.6,0.4,1.5,1.9,11.0,004554,"ZIZIC, ANTE",27,https://media-cdn.cortextech.io/a78d6cc1-d87a-43f6-a5d8-2dac9c1a9444.png,DAR;TEL;IST;VIR,DDI;MTA;EFS;VIR,Darussafaka Basketbol;Maccabi Rapyd Tel Aviv;Anadolu Efes Istanbul;Virtus Bologna,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
101,139.0,82.0,19.64832134292566,10.0,3.9,6.9,57.1%,0.3,0.8,33.9%,1.3,2.0,64.6%,1.6,2.9,4.4,1.4,0.4,1.3,0.2,0.5,1.7,2.3,11.0,004194,"LAUVERGNE, JOFFREY",33,https://media-cdn.incrowdsports.com/2c5d0d04-968c-4590-9924-d0e7a7b23110.png,ULK;ZAL;ASV,FNB;ZAL;ASV,Fenerbahce Beko Istanbul;Zalgiris Kaunas;LDLC ASVEL Villeurbanne,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png;https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
102,131.0,106.0,25.778244274809158,8.2,2.3,3.9,60.4%,0.7,2.0,34.5%,1.5,1.8,82.6%,1.3,2.8,4.2,1.2,0.7,0.6,0.1,0.3,1.4,2.1,11.1,005856,"THOMAS, WILL",35,https://media-cdn.incrowdsports.com/6c821d3c-09c7-4ef4-bc07-6573f1c22c74.png,MAL;PAM;DYR;MCO,UNI;VBC;ZEN;ASM,Unicaja Malaga;Valencia Basket;Zenit St Petersburg;AS Monaco,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png;https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
103,135.0,89.0,23.639259259259262,7.1,1.9,3.5,53.5%,0.5,1.6,30.6%,1.8,2.4,75.6%,1.3,3.4,4.7,2.2,0.8,1.7,0.1,0.2,1.8,3.2,11.1,004172,"PONITKA, MATEUSZ",30,https://media-cdn.cortextech.io/1ab6ed9c-aa0c-4dd0-9fb3-81f2ef325aae.png,GSS;DYR;PAN;PAR,ZGA;ZEN;PAO;PAR,GSS Akcyjna;Zenit St Petersburg;Panathinaikos AKTOR Athens;Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/abebfbc3-2dcd-4cc5-91f3-37dae527f363.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
104,189.0,136.0,25.251940035273368,10.3,2.1,3.9,54.5%,1.4,3.9,36.7%,1.7,2.1,81.3%,1.0,2.6,3.7,1.2,1.0,0.8,0.1,0.2,1.6,2.1,11.1,006436,"GIEDRAITIS, ROKAS",32,https://media-cdn.incrowdsports.com/514eb8b6-1987-43f8-b24b-748065632795.png,BER;BAS;RED,BER;TDS;CZV,ALBA Berlin;Baskonia Vitoria-Gasteiz;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png;https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
105,167.0,101.0,25.439121756487022,9.5,2.1,3.9,53.1%,1.4,3.7,36.9%,1.3,1.6,83.5%,0.6,2.9,3.5,3.1,0.7,1.5,0.2,0.1,1.7,1.8,11.2,CPR,"SIMON, KRUNOSLAV",36,https://media-cdn.incrowdsports.com/f075df2b-2237-4157-a9ce-dc9c4233d293.png,MIL;IST,EA7;EFS,EA7 Emporio Armani Milan;Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
106,230.0,181.0,24.7268115942029,7.9,2.0,3.8,53.2%,0.9,2.2,39.1%,1.3,1.7,72.9%,1.3,3.9,5.3,1.7,0.9,1.1,0.5,0.1,2.7,2.6,11.3,002849,"MELLI, NICOLO",33,https://media-cdn.cortextech.io/101176a1-0695-40e3-a635-b6ed80d17e6e.png,BAM;MIL;ULK,BRO;EA7;FNB,Bamberger Basketball GmbH;EA7 Emporio Armani Milan;Fenerbahce Beko Istanbul,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
