playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl,season_year,season_code
54,34.0,34.0,22.016176470588235,4.0,0.8,1.2,61.9%,0.6,1.6,35.7%,0.7,1.0,69.7%,0.7,1.8,2.5,0.9,0.6,0.8,0.3,0.1,1.9,1.0,4.7,JLX,"KURBANOV, NIKITA",34,https://media-cdn.incrowdsports.com/cf7bb2be-da56-4f87-ac38-d91749bb9e17.png,CSK,CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png,2020,E2020
55,27.0,1.0,16.317283950617284,4.1,1.0,2.1,46.4%,0.6,1.6,40.5%,0.3,0.4,80%,0.6,0.8,1.4,3.3,0.9,1.0,0.0,0.2,2.8,1.0,4.7,004571,"SISKO, ZAN MARK",23,https://media-cdn.incrowdsports.com/4418247f-db35-41a8-8244-73ebe8d6aa78.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2020,E2020
56,21.0,7.0,10.351587301587301,4.6,1.9,2.8,67.2%,0.0,0.0,100%,0.8,1.4,53.3%,1.6,0.7,2.3,0.4,0.6,0.9,0.1,0.2,2.0,1.4,4.8,007948,"AUGUSTE, ZACH",27,https://media-cdn.incrowdsports.com/91b79ba4-9c6e-4fdd-9acf-ccf84dd22ae4.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2020,E2020
57,32.0,21.0,13.938020833333333,4.2,1.7,3.0,55.7%,0.0,0.0,0%,0.8,1.2,65%,1.3,1.9,3.2,0.3,0.3,0.9,0.4,0.1,2.4,1.6,4.8,008004,"TARCZEWSKI, KALEB",27,https://media-cdn.incrowdsports.com/f276b900-872b-408d-9474-becf63a21411.png,MIL,AXM,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2020,E2020
58,24.0,5.0,13.28263888888889,4.9,1.0,2.2,46.2%,0.7,2.0,36.2%,0.8,0.8,95%,0.4,0.9,1.3,1.3,0.3,0.5,0.0,0.2,1.2,1.4,5.0,000518,"SAN EMETERIO, FERNANDO",36,https://media-cdn.incrowdsports.com/2ce687fb-3972-4e93-b27c-ea520053c228.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,2020,E2020
59,26.0,4.0,16.476282051282052,6.0,1.1,2.7,40.8%,1.0,2.3,41.7%,0.9,1.2,74.2%,0.3,0.9,1.2,2.8,0.7,1.6,0.0,0.3,1.8,1.2,5.0,009902,"MACK, SHELVIN",30,https://media-cdn.incrowdsports.com/e80c8e7e-d0f7-4ef4-8dc7-ec118fc01b5d.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2020,E2020
60,34.0,7.0,16.840686274509807,4.9,1.2,2.6,46.6%,0.6,2.0,32.8%,0.5,0.8,64.3%,0.6,1.8,2.4,1.9,0.8,1.3,0.3,0.1,2.1,1.2,5.0,005099,"HANGA, ADAM",31,https://media-cdn.incrowdsports.com/f9dd2a24-1b86-4538-aca2-c93136cf6f50.png,BAR,FCB,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2020,E2020
61,28.0,4.0,15.527976190476192,5.0,1.1,2.4,48.5%,0.7,2.2,31.7%,0.6,0.8,76.2%,0.3,2.2,2.5,0.8,0.4,0.5,0.4,0.1,1.3,0.9,5.1,006068,"NOUA, AMINE",23,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCbqck7/eb206bb3-3e1f-488d-b1fe-ecfcbab13249.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2020,E2020
62,34.0,16.0,14.244117647058824,3.0,0.9,1.5,60.8%,0.3,0.9,30%,0.4,0.7,52.2%,1.1,2.4,3.6,0.7,0.6,1.0,0.7,0.1,1.6,0.8,5.1,007630,"GARUBA, USMAN",18,https://media-cdn.cortextech.io/fb919f50-9e7d-4bbf-af92-3763895ba6b7.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2020,E2020
63,34.0,1.0,15.882352941176471,5.4,1.4,2.2,61.3%,0.7,1.7,40.4%,0.6,0.9,68.8%,0.4,1.6,2.0,1.1,0.3,0.9,0.0,0.1,1.8,1.3,5.2,003573,"ZUBKOV, ANDREY",29,https://media-cdn.incrowdsports.com/08fac229-0cd6-4d04-8929-93b0fbedcde9.png,DYR,ZEN,Zenit St Petersburg,https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png,2020,E2020
